Total requests: 3200

HANDLER                  	DEBUG	INFO 	WARNING	ERROR	CRITICAL
/admin/dashboard/        	0    	143  	0    	0    	0    
/admin/login/            	0    	113  	0    	0    	0    
/api/v1/auth/login/      	0    	106  	0    	0    	0    
/api/v1/cart/            	0    	52   	0    	0    	0    
/api/v1/checkout/        	0    	167  	0    	0    	0    
/api/v1/orders/          	0    	112  	0    	0    	0    
/api/v1/payments/        	0    	127  	0    	0    	0    
/api/v1/products/        	0    	143  	0    	0    	0    
/api/v1/reviews/         	0    	231  	0    	0    	0    
/api/v1/shipping/        	0    	88   	0    	0    	0    
/api/v1/support/         	0    	199  	0    	0    	0    
/api/v1/users/           	0    	103  	0    	0    	0    
ERROR:/admin/dashboard/  	0    	0    	0    	40   	0    
ERROR:/admin/login/      	0    	0    	0    	33   	0    
ERROR:/api/v1/auth/login/	0    	0    	0    	9    	0    
ERROR:/api/v1/cart/      	0    	0    	0    	1    	0    
ERROR:/api/v1/checkout/  	0    	0    	0    	33   	0    
ERROR:/api/v1/orders/    	0    	0    	0    	40   	0    
ERROR:/api/v1/payments/  	0    	0    	0    	31   	0    
ERROR:/api/v1/products/  	0    	0    	0    	71   	0    
ERROR:/api/v1/reviews/   	0    	0    	0    	26   	0    
ERROR:/api/v1/shipping/  	0    	0    	0    	32   	0    
ERROR:/api/v1/support/   	0    	0    	0    	25   	0    
ERROR:/api/v1/users/     	0    	0    	0    	47   	0    
SQL:cart                 	56   	0    	0    	0    	0    
SQL:checkout             	9    	0    	0    	0    	0    
SQL:dashboard            	10   	0    	0    	0    	0    
SQL:login                	25   	0    	0    	0    	0    
SQL:orders               	47   	0    	0    	0    	0    
SQL:payments             	40   	0    	0    	0    	0    
SQL:products             	57   	0    	0    	0    	0    
SQL:reviews              	55   	0    	0    	0    	0    
SQL:shipping             	71   	0    	0    	0    	0    
SQL:support              	42   	0    	0    	0    	0    
SQL:users                	49   	0    	0    	0    	0    
django.core              	0    	0    	0    	0    	189  
django.security          	0    	0    	578  	0    	0    
_________________________	461  	1584 	578  	388  	189  
